categoria,subcategoria,subcategoria_url,page,empresa,imagen,ficha_url
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,1,4Dressmaker,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_2033.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/2033.sets-de-costura-completos-saca-tu-maquina-de-coser-y-confecciona-tu-ropa
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,1,Adriels,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_2021.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/2021.moda-y-complementos-infantiles
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,1,ARTESER Serigrafía,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_2379.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/2379.imprenta-y-serigrafia-impresion-digital-rotulos-tampografia-etc
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,1,ARTESER Serigrafía,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_2380.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/2380.imprenta-y-serigrafia-impresion-digital-rotulos-tampografia-etc
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,1,"Baby Complements: Ropa, Complementos y Puericultura para niños de 0 a 5 años",http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_744.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/744.encuentra-complementos-para-bebes-articulos-de-puericultura-chupetes-baberos-juguetes-cochecitos
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,1,Barbara Claudia,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_2049.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/2049.tienda-online-especializada-en-moda-infantil
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,1,Bebé Cuore,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_1867.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/1867.tienda-online-especializada-en-articulos-para-el-bebe
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,1,BESTSHOPING,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_1866.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/1866.tienda-online-de-ropa-y-complementos
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,2,Bestshopping,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_1381.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/1381.ropa-y-complementos-online-al-mejor-precio
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,2,Bordados Altania,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_591.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/591.bordados-altania
