empresa,website,platform,is_alive,email,telefono,ficha_url
4Dressmaker,https://4dressmakers.com/es/,,0,,965297697,http://www.seraportiendasonline.com/2033.sets-de-costura-completos-saca-tu-maquina-de-coser-y-confecciona-tu-ropa
Adriels,https://adrielsmoda.es/,prestashop,1,,941147688,http://www.seraportiendasonline.com/2021.moda-y-complementos-infantiles
ARTESER Serigrafía,https://arteserserigrafia.es/,,0,,601309642,http://www.seraportiendasonline.com/2379.imprenta-y-serigrafia-impresion-digital-rotulos-tampografia-etc
"Baby Complements: Ropa, Complementos y Puericultura para niños de 0 a 5 años",https://babycomplements.com/es/,,0,,937179478,http://www.seraportiendasonline.com/744.encuentra-complementos-para-bebes-articulos-de-puericultura-chupetes-baberos-juguetes-cochecitos
Barbara Claudia,https://barbaraclaudia.com,prestashop,1,,858106499,http://www.seraportiendasonline.com/2049.tienda-online-especializada-en-moda-infantil
Bebé Cuore,https://www.bebecuore.com,,0,,667626139,http://www.seraportiendasonline.com/1867.tienda-online-especializada-en-articulos-para-el-bebe
BESTSHOPING,https://www.bestshopping.es/,,0,info@bestshopping.es,601143472,http://www.seraportiendasonline.com/1866.tienda-online-de-ropa-y-complementos
Bestshopping,https://www.bestshopping.es/,,0,info@bestshopping.es,601143472,http://www.seraportiendasonline.com/1381.ropa-y-complementos-online-al-mejor-precio
Bordados Altania,http://bordadosaltania.es,,0,,953235275,http://www.seraportiendasonline.com/591.bordados-altania
Bruno Baresi,https://brunobaresishop.com/es/,,0,,934635241,http://www.seraportiendasonline.com/1877.ropa-de-la-marca-bruno-baresi
Camden,https://www.camden.es,,1,info@camdenshops.com,933022163,http://www.seraportiendasonline.com/91.tienda-online-de-ropa-gotica
CamisetaBasica,https://www.camisetabasica.es,,0,,625491887,http://www.seraportiendasonline.com/926.tienda-online-donde-comprar-camisetas-baratas
Caprichos de mama,https://www.caprichosdemama.es/,,0,,986300411,http://www.seraportiendasonline.com/1892.tienda-online-ropa-infantil
Carla Rubio Moda infantil,https://www.carlarubio.com/,,0,,980030309,http://www.seraportiendasonline.com/1893.tienda-online-ropa-infantil
Carmen Horneros,https://carmenhorneros.com/,prestashop,1,info@carmenhorneros.com,626338521,http://www.seraportiendasonline.com/1786.comercio-textil-femenino
Chambretas.es,https://www.chambretas.es,,0,,934358257,http://www.seraportiendasonline.com/1363.tienda-online-de-productos-impresos-con-originales-disenos-en-aragones
clothingclose,https://clothingclose.com,,0,,937291869,http://www.seraportiendasonline.com/1556.tienda-online
Cocolebrel,,,0,,,http://www.seraportiendasonline.com/1971.
Colandia,https://www.colandia.com,prestashop,1,,872550501,http://www.seraportiendasonline.com/1218.comparador-de-productos-y-ofertas-compra-online
comprar bolsos,https://www.modaybolsos.com,,1,,609975770,http://www.seraportiendasonline.com/723.tienda-online-de-bolsos
Compras Fácil,https://www.comprasfacil.es,,0,,664792368,http://www.seraportiendasonline.com/2124.buscador-de-ofertas-en-articulos-deportivos-al-mejor-precio-por-internet
Confecciones Zorrilla,https://www.ropalaboralonzor.com,prestashop,1,,913665227,http://www.seraportiendasonline.com/2043.ropa-de-trabajo-y-moda-de-caballero
coolthesack,https://www.coolthesack.es/,,0,,954522119,http://www.seraportiendasonline.com/730.tienda-de-moda-online-ropa-de-las-famosas-ropa-fashion-american-vintage
corsets-sexys,https://corsets-sexys.com,,0,,645644379,http://www.seraportiendasonline.com/693.tienda-online-de-corsets-exterioresvestidoslenceria-con-precios-muy-economicos
cositaschulas,https://cositaschulas.com/,prestashop,1,info@cositaschulas.com,680722838,http://www.seraportiendasonline.com/2127.tienda-de-regalos-de-bebes
Crabs Internacional,https://www.crabsinternacional.com/,,0,,629337206,http://www.seraportiendasonline.com/2154.tienda-online-de-ropa-infantil
Creaciones Maricruz,https://www.maricruz.es/,wordpress,1,,954259345,http://www.seraportiendasonline.com/1778.trajes-de-flamenca
CryptoMerchan,https://cryptomerchan.com/,,0,,910054408,http://www.seraportiendasonline.com/2372.tienda-online-de-merchandising-con-tematica-crypto
CSS CACIO SUPER STORE,https://www.csstore.tk/,,0,,0575 3248820,http://www.seraportiendasonline.com/884.tienda-online-de-ropa-cocina-vajillas-calzado-tecnologia
Cyprea,https://www.cyprea.es,,0,,911816171,http://www.seraportiendasonline.com/751.cyprea-tienda-online-de-moda-y-complementos-con-descuentos
DAAN TIENDA,https://www.daantienda.es/,,0,,954155108,http://www.seraportiendasonline.com/2007.tienda-de-montana
dafne collection,https://dafnecollection.com,,0,,680731155,http://www.seraportiendasonline.com/1910.los-mejores-precios--moda-online--ropa-zapatos-y-complentos
De bebe Shop,https://www.debebe.shop/,wordpress,1,,52 771 31 33 773,http://www.seraportiendasonline.com/1990.un-mundo-de-productos-para-tu-bebe
Delmapunto,https://www.delmapunto.com/,wordpress,1,tienda@delmapunto.com,967329071,http://www.seraportiendasonline.com/1499.uniformes-escolares
Deportes y Más,https://www.deportesymas.es,,0,,630333333,http://www.seraportiendasonline.com/856.tienda-especializada-en-deportes-y-mucho-mas
DIAS,https://ricosdias.com/,,1,,661872849,http://www.seraportiendasonline.com/2227.venta-online-de-camisetas-para-hombre-de-estilo-urbano-street-style-con-disenos-originales
Dímelo Hilando,https://www.dimelohilando.com/,shopify,1,,670784287,http://www.seraportiendasonline.com/2257.es-una-firma-de-moda-infantil-cordobesa-para-ninos-y-ninas-desde-los-9-meses-hasta-los-16-anos
DIsfraces Baratos,https://www.jugueteriatuyyo.com/,prestashop,1,info@disfracestuyyo.com,12345678,http://www.seraportiendasonline.com/878.amplio-surtido-en-disfraces-baratospelucas-y-complementos
Don Precios,https://www.donprecios.net,,0,,971248568,http://www.seraportiendasonline.com/655.venta-al-menor-y-mayor-cantidad-de-articulos
Dorothy Mambo™ Alpargatas de diseño,https://www.dorothymambo.com,prestashop,1,hola@dorothymambo.com,+34966094242,http://www.seraportiendasonline.com/2006.tienda-online-oficial-de-la-marca-de-alpargatas-moda-y-complementos-exclusivos-unisex-dorothy-mambo™-alpargatas-cosidas-a-mano-c
Doscuadrados Tienda Skate Online,https://www.doscuadrados.com,,1,,935014040,http://www.seraportiendasonline.com/1924.doscuadrados-tienda-skate-online
E Factory,https://www.efactory.es,,0,,911138012,http://www.seraportiendasonline.com/162.tienda-outlet-online-de-ropa-de-marca-para-mujer-y-hombre-complementos-perfumes-articulos-deportivos
Elistil,https://www.elistil.com,,0,,657899521,http://www.seraportiendasonline.com/1511.tienda-online-gourmet-delicatessen-venta-de-productos-online-gourmet-delicatessen
Els Barrufets,https://barrufets.es,,0,,933399560,http://www.seraportiendasonline.com/2022.moda-y-complementos-infantiles
EMP Mailorder España,https://www.emp-online.es,,1,mailbox@emp-online.es,972101298,http://www.seraportiendasonline.com/1160.la-mayor-tienda-online-de-europa-de-merchandise-oficial-de-bandas-heavy-metal
Empremtacatalana.com,https://www.empremtacatalana.com,,0,,934358257,http://www.seraportiendasonline.com/1520.tienda-online-de-productos-impresos-en-catalan
Enlazada a mi manera,https://www.enlazadasamimanera.es/,shopify,1,su-email@ejemplo.com,956814355,http://www.seraportiendasonline.com/1774.tienda-de-ropa-infantil
Entretiendas tienda outlet online,https://www.entretiendas.com,,0,,988601297,http://www.seraportiendasonline.com/1267.tienda-outlet-online-multisectorial-con-descuentos-de-hasta-el-70-envio-48h
Erikch,https://www.erikch.com/shop/es/,,0,,916420994,http://www.seraportiendasonline.com/2255.proveedor-online-de-ropa-al-por-mayor
Fashion Station Moda,https://www.fashionstationmoda.es/,,0,,954251505,http://www.seraportiendasonline.com/1212.venta-al-por-mayor-moda-femenina
Flamenkababy,https://www.deflamenkababy.com/,,0,,959400641,http://www.seraportiendasonline.com/1787.comercio-textil-infantil
Flamenkababy and Kids,https://Www.deflamenkababy.com,,0,,959400641,http://www.seraportiendasonline.com/1788.marca-de-moda-infantil-ropa-de-bebes-ropa-de-ninas-ninos-y-accesorios-infantiles
Galerias Jose Mari,https://www.galeriasjosemari.com/,prestashop,1,Info@galeriasjosemari.com,923194200,http://www.seraportiendasonline.com/1027.empresa-especializada-en-pijamas-ropa-interior-lenceria-hogar-bebes-bano-vestuario-laboral
Gemelolandia,https://www.gemelolandia.com/,,1,fulanito@dominio.com,918313527,http://www.seraportiendasonline.com/2316.gemelos-de-camisa-originales-y-complementos
Grupodescuento.es,https://grupodescuento.es,,0,,916706014,http://www.seraportiendasonline.com/746.ofertas-y-cupones-descuento
Hansel Baby & Kids,https://www.hanselbabyankids.com,,0,,981350816,http://www.seraportiendasonline.com/2300.moda-infantil-y-teen
HC Moda,,,0,,,http://www.seraportiendasonline.com/490.
Hola Bebe,https://holabebe.online,,0,,603394578,http://www.seraportiendasonline.com/1939.ropa-de-bebe-barata-online
Isato,https://isato.es/,,0,,916255369,http://www.seraportiendasonline.com/1926.isato-moda-femenina
J´hayber,https://jhayber.com/,,0,,965457912,http://www.seraportiendasonline.com/1931.zapatillas-deportivas-ropa-deportivas-y-complementos
Kenbra Moda Infantil,https://www.kenbramodainfantil.com/,,0,,980041370,http://www.seraportiendasonline.com/1408.tienda-especializada-en-la-venta-de-ropa-infantil-de-hasta-14-anos
KePrecio.online,https://www.keprecio.online,,0,,857801282,http://www.seraportiendasonline.com/2091.compara-entre-miles-de-ofertas-elige-tu-articulo-deportivo-favorito
Kilometro cuarentaydos,https://www.km42.es,wordpress,1,,664640101,http://www.seraportiendasonline.com/427.tienda-online-de-articulos-para-atletismo
La Casita de Loan,https://lacasitadeloan.com/,,0,,660962786,http://www.seraportiendasonline.com/1900.productos-para-bebes-ninos-y-ninas
La Comba Infantil,https://www.lacombainfantil.com/,prestashop,1,info@lacombainfantil.com,963692706,http://www.seraportiendasonline.com/1968.ropa-infantil-y-complementos
La Reina de Paris,http://www.lareinadeparis.com,prestashop,1,info@lareinadeparis.com,922173065,http://www.seraportiendasonline.com/579.la-reina-de-paris
La Santa Surf Shop,,,0,,,http://www.seraportiendasonline.com/510.
La Tienda Top Model,https://www.latiendatopmodel.com/,shopify,1,,Gemma Fitó,http://www.seraportiendasonline.com/1331.venta-de-articulos-top-model
Lamu Kikoy,,,0,,,http://www.seraportiendasonline.com/538.
lara,https://laramodaycomplementos.negocio.site/,,0,,666,http://www.seraportiendasonline.com/2282.lara-moda-y-complementos-lara-maria-rodriguez-perez-torremolinos
lara moda y complementos,https://laramodaycomplementos.negocio.site/,,0,,666,http://www.seraportiendasonline.com/2283.lara-moda-y-complementos-lara-maria-rodriguez-perez-torremolinos
Lennox moda,https://www.lennoxmoda.com,,0,,950470963,http://www.seraportiendasonline.com/640.vestidos-y-trajes-de-fiesta-para-hombre-y-mujer-de-las-mejores-marcas-espanolas-con-grandes-descuentos
Lista Sastrería,https://www.listaorganizacion.com/,wordpress,1,,954562629,http://www.seraportiendasonline.com/2307.sastreria-sevillana
Littel Coco Baby,https://www.littlecocobaby.es/,wordpress,0,tienda@littlecocobaby.es,920338083,http://www.seraportiendasonline.com/2081.tienda-online-especializada-en-productos-de-bebe
Lorcaepis,https://www.lorcaepis.com/,prestashop,1,web@lorcaepis.com,968442544,http://www.seraportiendasonline.com/1957.ropa-de-trabajo
LunadBodas,https://www.lunasdboda.com/,wordpress,0,caridad@lunasdboda.com,915211127,http://www.seraportiendasonline.com/1504.tienda-de-novias
lutasha,https://www.lutasha.es/,,0,,678400527,http://www.seraportiendasonline.com/2241.tienda-online-de-camiseta-y-bolsos-para-mujer
Mamimum,https://www.mamimum.com,,0,,937570892,http://www.seraportiendasonline.com/2067.tienda-online-de-puericultura-ropa-para-bebes-y-mobiliario-infantil
MandarinaSweet.com,https://www.mandarinasweet.com,prestashop,0,service@atom.com,Qwerty123456,http://www.seraportiendasonline.com/605.tienda-online-de-moda
Marchuet,https://www.marchuet.com,,0,,937800394,http://www.seraportiendasonline.com/703.tienda-de-ropa-online-para-hombre
MarengoStyle.com,,,0,,,http://www.seraportiendasonline.com/473.
Mas uniformes,https://www.masuniformes.com,prestashop,1,info@masuniformes.com,934255393,http://www.seraportiendasonline.com/342.tienda-online-de-uniformes-y-ropa-de-trabajo
Master Sport,https://www.mastersport.es,,0,,952351289,http://www.seraportiendasonline.com/940.master-sport-tienda-online-de-material-deportivo
Milazzo,https://milazzo.es,,1,,669430897,http://www.seraportiendasonline.com/1758.tienda-de-ropa-de-moda-online-ropa-de-moda-para-la-mujer
Minymum,,,0,,,http://www.seraportiendasonline.com/480.
Mis trajes de novia,,,0,,,http://www.seraportiendasonline.com/356.
MisCinco - Electro People,https://www.miscinco.es,,0,,locuras3,http://www.seraportiendasonline.com/1773.-miscinco-descubre-nuestras-ofertas-promociones-sorteos-mas-de-35000-articulos-al-mejor-precio
Moda Dalias,https://modadalias.com/,wordpress,1,,911704028,http://www.seraportiendasonline.com/2170.tu-tienda-de-vestidos-de-fiesta-en-parla
