direccion,telefono,paginaweb,email,provincia_url,empresa_url
"Rúa Magdalena, 7, 15300 Betanzos, A Coruña",657 18 18 55,https://controldeplagasgalicia.com,info@controldeplagasgalicia.com,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/betanzos/control-de-plagas-mantis-betanzos/
"Rúa C, Parcela 23, 15180 Culleredo, A Coruña",981 28 66 53,https://sanalcontrol.es,info@sanalcontrol.es,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/culleredo/sanal-control-medioambiental-culleredo/
"Avenida das Mariñas, 10, 15171 Oleiros, A Coruña",981 64 82 66,https://jardiland.es,,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/oleiros/control-de-aves-jardiland-oleiros/
"Rúa Paraguai, 12, 15008 A Coruña",671 12 95 50,https://ambitegaplagas.com,ambitega@ambitegaplagas.es,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/ambitega-plagas-a-coruna/"Cam. da Carreira, 9, 15181 Sigrás, A Coruña",900 901 076,https://rentokil.com,,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/cambre/rentokil-initial-control-de-plagas-a-coruna-cambre/
"Av. Fisterra, 93, 15270 Cee, A Coruña",981 74 52 42,https://sysdegal.com,info@sysdegal.com,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/cee/control-de-plagas-sysdegal-cee/
"A, Travesía Coutelana, 4, 15679 O Temple, A Coruña",981 64 63 95,https://servides.eu,,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/temple/control-de-plagas-servides-temple/
"Praza Comercio, 17, 15010 A Coruña",981 14 18 20,https://saniastur.es,info@saniastur.es,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/control-de-plagas-saniastur-galicia-a-coruna/
"Rúa Río Xubia, 112, 15406 Ferrol, A Coruña",981 31 93 33,https://insades.com,insades@insades.com,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/ferrol/control-de-plagas-insades-ferrol/
"Av. Casanova de Eirís, 31, 15009 A Coruña",981 28 83 24,https://plagasandrade.com,info@plagasandrade.com,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/control-de-plagas-andrade-a-coruna/
"Rúa Paraguai, 12, 15008 A Coruña",671 12 95 50,https://ambitegaplagas.com,ambitega@ambitegaplagas.es,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/ambitega-plagas-a-coruna/
"Cam. da Carreira, 9, 15181 Sigrás, A Coruña",900 901 076,https://rentokil.com,,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/cambre/rentokil-initial-control-de-plagas-a-coruna-cambre/
"Avenida das Mariñas, 45, 15171 Oleiros, A Coruña",881 85 00 60,https://proxardin.es,arteixo@progando.es,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/oleiros/control-de-aves-progando-oleiros/
"Meneiroas, 11, 15145 A Laracha, A Coruña",609 73 68 65,https://bonverde.es,info@bonverde.es,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/laracha/control-de-plagas-bonverde-laracha/
"Rúa Otero Pedraio, 8, bajo, 15679 O Temple, A Coruña",670 44 30 11,https://plaguiboom.com,plaguiboom@gmail.com,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/temple/plaguiboom-temple/
"Rúa Capitán Troncoso, 12, 15001 A Coruña",626 65 78 41,https://controlplagasgalicia.es,info@biosergaplagas.com,https://amisando.es/servicios/a-coruna/,https://amisando.es/servicios/a-coruna/control-de-plagas-bioserga-a-coruna/
"C. Quevedo, 15, 02005 Albacete",658 57 23 23,https://plaguefitdesinfecciones.es,info@plaguefit.es,https://amisando.es/servicios/albacete/,https://amisando.es/servicios/albacete/plaguefit-control-de-plagas-y-desinfecciones-albacete/
No se ha proporcionado,619 83 43 21,https://desinfeccionesecologicas.com,info@desinfeccionesecologicas.com,https://amisando.es/servicios/albacete/,https://amisando.es/servicios/albacete/abengibre/desinfecciones-ecologicas-control-de-plagas-albacete-fumigaciones-desratizacion-abengibre/
"Pl. la Catedral, 4, 02001 Albacete",664 16 11 92,https://matabichosalba.com,matabichos.alba@gmail.com,https://amisando.es/servicios/albacete/,https://amisando.es/servicios/albacete/control-de-plagas-mata-bichos-alba-albacete/
"C. San Ildefonso, 1, Bj, 02001 Albacete",967 60 41 47,https://atusaludambiental.es,info@atusaludambiental.es,https://amisando.es/servicios/albacete/,https://amisando.es/servicios/albacete/control-de-plagas-a-tu-salud-albacete/
"Calle C, 61, 02007 Albacete",967 66 16 70,https://rocadefisan.es,ad@rocadefisan.es,https://amisando.es/servicios/albacete/,https://amisando.es/servicios/albacete/control-de-plagas-roca-defisan-albacete/
"Calle de, C. Antonio Gotor, 2, BAJO-IZDA, 02002 Albacete",967 22 64 50,https://desinalba.com,desinalba@hotmail.com,https://amisando.es/servicios/albacete/,https://amisando.es/servicios/albacete/control-de-plagas-desinfecciones-albacete/
"Polígono Industrial, Carrer Rubens, 3, 03009 Alicante",900 901 076,https://rentokil.com,,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/alicante-alacant/control-de-plagas-rentokil-alicante-alacant/
"Carrer Salvador i Vicente Pérez Lledó, 9, local 1B, 03110 Mutxamel, Alicante",965 95 07 56,https://Ficha de GMB,,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/mutxamel/control-de-plagas-desinfecciones-hernandez-mutxamel/
No se ha proporcionado,744 65 19 16,https://vpestcontrol.net,,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/agost/v-pest-control-management-agost/
"Plaça del Centenari, 10, puerta 14, 03802 Alcoi, Alicante",622 95 29 53,https://gasconet.es,info@gasconet.es,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/alcoy/gasconet-control-de-plagas-alcoy/
No se ha proporcionado,692 64 36 98,https://Ficha de GMB,,https://amisando.es/servicios/alicante/,https://amisando.es/servicios/alicante/agost/control-de-plagas-richper-agost/
